X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,STATO,TIPOLOGIA,REGIONE,PROVINCIA,COMUNE,LOCALITA_,LATITUDINE,LONGITUDIN,unnamed__1_,GENERE,SPECIE,NOME_VOLG,ALTRE_SPECIE,CONTESTO,CR_ETA_,CR_CIRCONF,CR_ALTEZZA,CR_AMPIEZZ,CR_FM_O_PO,CR_VALORE,CR_RARITA_,CR_ARCHIT,CR_PAESAG,CR_STORICO,AL_IS___H,AL_IS___C,INS___Cmed,INS___Hmed,INS___Cmax,INS___Hmax,DECR_DI_IN,DECR_MODIF
11.64156,46.7762,001/F856/BZ/21,"STATO: Iscritto in elenco<br>TIPOLOGIA: albero singolo<br>REGIONE: Bolzano<br>PROVINCIA: Bolzano<br>COMUNE: Naz-Sciaves<br>LOCALITA': AICA<br>LATITUDINE: 46.77620<br>LONGITUDIN: 11.64156<br>unnamed (1): 710 m slm<br>GENERE: Tilia<br>SPECIE: Tilia cordata Mill.<br>NOME VOLG: Tiglio selvatico<br>ALTRE SPECIE: <br>CONTESTO: extraurbano<br>CR ETA': NO<br>CR CIRCONF: SI<br>CR ALTEZZA: NO<br>CR AMPIEZZ: NO<br>CR FM O PO: NO<br>CR VALORE: NO<br>CR RARITA': NO<br>CR ARCHIT: NO<br>CR PAESAG: NO<br>CR STORICO: NO<br>AL IS - H: 17,2 m<br>AL IS - C: 633 cm<br>INS - Cmed: <br>INS - Hmed: <br>INS - Cmax: <br>INS - Hmax: <br>DECR DI IN: D.Dip. n. 5450 del 19/12/2017<br>DECR MODIF: 0",,,,,-1,0,-1,,,Iscritto in elenco,albero singolo,Bolzano,Bolzano,Naz-Sciaves,AICA,46.77620,11.64156,710 m slm,Tilia,Tilia cordata Mill.,Tiglio selvatico,,extraurbano,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,"17,2 m",633 cm,,,,,D.Dip. n. 5450 del 19/12/2017,0
11.56871,46.63368,001/E420/BZ/21,"STATO: Iscritto in elenco<br>TIPOLOGIA: albero singolo<br>REGIONE: Bolzano<br>PROVINCIA: Bolzano<br>COMUNE: Laion<br>LOCALITA': ALBIONS - RESIDENZA LUSENEGG<br>LATITUDINE: 46.63368<br>LONGITUDIN: 11.56871<br>unnamed (1): 745 m slm<br>GENERE: Castanea<br>SPECIE: Castanea sativa Mill.<br>NOME VOLG: Castagno<br>ALTRE SPECIE: <br>CONTESTO: extraurbano<br>CR ETA': SI<br>CR CIRCONF: SI<br>CR ALTEZZA: NO<br>CR AMPIEZZ: NO<br>CR FM O PO: NO<br>CR VALORE: NO<br>CR RARITA': NO<br>CR ARCHIT: NO<br>CR PAESAG: NO<br>CR STORICO: NO<br>AL IS - H: 15,5 m<br>AL IS - C: 1322 cm<br>INS - Cmed: <br>INS - Hmed: <br>INS - Cmax: <br>INS - Hmax: <br>DECR DI IN: D.Dip. n. 5450 del 19/12/2017<br>DECR MODIF: 0",,,,,-1,0,-1,,,Iscritto in elenco,albero singolo,Bolzano,Bolzano,Laion,ALBIONS - RESIDENZA LUSENEGG,46.63368,11.56871,745 m slm,Castanea,Castanea sativa Mill.,Castagno,,extraurbano,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,"15,5 m",1322 cm,,,,,D.Dip. n. 5450 del 19/12/2017,0
11.15612,46.67096,005/F132/BZ/21,"STATO: Iscritto in elenco<br>TIPOLOGIA: albero singolo<br>REGIONE: Bolzano<br>PROVINCIA: Bolzano<br>COMUNE: Merano<br>LOCALITA': ANGOLO CORSO DELLA LIBERTÀ - VIA OTTONE HUBER<br>LATITUDINE: 46.67096<br>LONGITUDIN: 11.15612<br>unnamed (1): 310 m slm<br>GENERE: Platanus<br>SPECIE: Platanus acerifolia (Aiton) Willd.<br>NOME VOLG: Platano comune<br>ALTRE SPECIE: <br>CONTESTO: urbano<br>CR ETA': NO<br>CR CIRCONF: SI<br>CR ALTEZZA: SI<br>CR AMPIEZZ: NO<br>CR FM O PO: NO<br>CR VALORE: NO<br>CR RARITA': NO<br>CR ARCHIT: NO<br>CR PAESAG: NO<br>CR STORICO: NO<br>AL IS - H: 35,6 m<br>AL IS - C: 360 cm<br>INS - Cmed: <br>INS - Hmed: <br>INS - Cmax: <br>INS - Hmax: <br>DECR DI IN: D.Dip. n. 5450 del 19/12/2017<br>DECR MODIF: 0",,,,,-1,0,-1,,,Iscritto in elenco,albero singolo,Bolzano,Bolzano,Merano,ANGOLO CORSO DELLA LIBERTÀ - VIA OTTONE HUBER,46.67096,11.15612,310 m slm,Platanus,Platanus acerifolia (Aiton) Willd.,Platano comune,,urbano,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,"35,6 m",360 cm,,,,,D.Dip. n. 5450 del 19/12/2017,0
11.21023,46.28831,002/E829/BZ/21,"STATO: Iscritto in elenco<br>TIPOLOGIA: albero singolo<br>REGIONE: Bolzano<br>PROVINCIA: Bolzano<br>COMUNE: Magrè sulla strada del vino<br>LOCALITA': AUGUSTINHAUS - SCHLACHTHOFGASSE 13<br>LATITUDINE: 46.28831<br>LONGITUDIN: 11.21023<br>unnamed (1): 220 m slm<br>GENERE: Vitis<br>SPECIE: Vitis vinifera L.<br>NOME VOLG: Vite<br>ALTRE SPECIE: <br>CONTESTO: urbano<br>CR ETA': SI<br>CR CIRCONF: NO<br>CR ALTEZZA: NO<br>CR AMPIEZZ: NO<br>CR FM O PO: SI<br>CR VALORE: NO<br>CR RARITA': NO<br>CR ARCHIT: NO<br>CR PAESAG: SI<br>CR STORICO: SI<br>AL IS - H: 5,2 m<br>AL IS - C: 45 cm<br>INS - Cmed: <br>INS - Hmed: <br>INS - Cmax: <br>INS - Hmax: <br>DECR DI IN: D.Dip. n. 5450 del 19/12/2017<br>DECR MODIF: 0",,,,,-1,0,-1,,,Iscritto in elenco,albero singolo,Bolzano,Bolzano,Magrè sulla strada del vino,AUGUSTINHAUS - SCHLACHTHOFGASSE 13,46.28831,11.21023,220 m slm,Vitis,Vitis vinifera L.,Vite,,urbano,SI,NO,NO,NO,SI,NO,NO,NO,SI,SI,"5,2 m",45 cm,,,,,D.Dip. n. 5450 del 19/12/2017,0
11.06645,46.55454,001/I065/BZ/21,STATO: Iscritto in elenco<br>TIPOLOGIA: albero singolo<br>REGIONE: Bolzano<br>PROVINCIA: Bolzano<br>COMUNE: San Pancrazio<br>LOCALITA': BAGNI DI MEZZO<br>LATITUDINE: 46.55454<br>LONGITUDIN: 11.06645<br>unnamed (1): 950 m slm<br>GENERE: Fagus<br>SPECIE: Fagus sylvatica L.<br>NOME VOLG: Faggio<br>ALTRE SPECIE: <br>CONTESTO: extraurbano<br>CR ETA': NO<br>CR CIRCONF: SI<br>CR ALTEZZA: NO<br>CR AMPIEZZ: NO<br>CR FM O PO: SI<br>CR VALORE: NO<br>CR RARITA': NO<br>CR ARCHIT: NO<br>CR PAESAG: NO<br>CR STORICO: NO<br>AL IS - H: 18 m<br>AL IS - C: 428 cm<br>INS - Cmed: <br>INS - Hmed: <br>INS - Cmax: <br>INS - Hmax: <br>DECR DI IN: D.Dip. n. 5450 del 19/12/2017<br>DECR MODIF: 0,,,,,-1,0,-1,,,Iscritto in elenco,albero singolo,Bolzano,Bolzano,San Pancrazio,BAGNI DI MEZZO,46.55454,11.06645,950 m slm,Fagus,Fagus sylvatica L.,Faggio,,extraurbano,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,18 m,428 cm,,,,,D.Dip. n. 5450 del 19/12/2017,0
11.37584,46.88081,002/H152/BZ/21,"STATO: Iscritto in elenco<br>TIPOLOGIA: albero singolo<br>REGIONE: Bolzano<br>PROVINCIA: Bolzano<br>COMUNE: Racines<br>LOCALITA': CASCATA DI STANGHE<br>LATITUDINE: 46.88081<br>LONGITUDIN: 11.37584<br>unnamed (1): 1000 m slm<br>GENERE: Picea<br>SPECIE: Picea abies (L.) H. Karst.<br>NOME VOLG: Abete rosso<br>ALTRE SPECIE: <br>CONTESTO: extraurbano<br>CR ETA': SI<br>CR CIRCONF: SI<br>CR ALTEZZA: NO<br>CR AMPIEZZ: NO<br>CR FM O PO: NO<br>CR VALORE: NO<br>CR RARITA': NO<br>CR ARCHIT: NO<br>CR PAESAG: NO<br>CR STORICO: NO<br>AL IS - H: 44,6 m<br>AL IS - C: 439 cm<br>INS - Cmed: <br>INS - Hmed: <br>INS - Cmax: <br>INS - Hmax: <br>DECR DI IN: D.Dip. n. 5450 del 19/12/2017<br>DECR MODIF: 0",,,,,-1,0,-1,,,Iscritto in elenco,albero singolo,Bolzano,Bolzano,Racines,CASCATA DI STANGHE,46.88081,11.37584,1000 m slm,Picea,Picea abies (L.) H. Karst.,Abete rosso,,extraurbano,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,"44,6 m",439 cm,,,,,D.Dip. n. 5450 del 19/12/2017,0
11.18423,46.55381,001/L149/BZ/21,STATO: Iscritto in elenco<br>TIPOLOGIA: albero singolo<br>REGIONE: Bolzano<br>PROVINCIA: Bolzano<br>COMUNE: Tesimo<br>LOCALITA': CASTEL KATZENZUNGEN - PRISSIANO<br>LATITUDINE: 46.55381<br>LONGITUDIN: 11.18423<br>unnamed (1): 601 m slm<br>GENERE: Vitis<br>SPECIE: Vitis vinifera L.<br>NOME VOLG: Vite<br>ALTRE SPECIE: <br>CONTESTO: extraurbano<br>CR ETA': SI<br>CR CIRCONF: NO<br>CR ALTEZZA: NO<br>CR AMPIEZZ: SI<br>CR FM O PO: SI<br>CR VALORE: NO<br>CR RARITA': SI<br>CR ARCHIT: NO<br>CR PAESAG: SI<br>CR STORICO: SI<br>AL IS - H: 2 m<br>AL IS - C: 43 cm<br>INS - Cmed: <br>INS - Hmed: <br>INS - Cmax: <br>INS - Hmax: <br>DECR DI IN: D.Dip. n. 5450 del 19/12/2017<br>DECR MODIF: 0,,,,,-1,0,-1,,,Iscritto in elenco,albero singolo,Bolzano,Bolzano,Tesimo,CASTEL KATZENZUNGEN - PRISSIANO,46.55381,11.18423,601 m slm,Vitis,Vitis vinifera L.,Vite,,extraurbano,SI,NO,NO,SI,SI,NO,SI,NO,SI,SI,2 m,43 cm,,,,,D.Dip. n. 5450 del 19/12/2017,0
11.65027,46.69118,002/B160/BZ/21,"STATO: Iscritto in elenco<br>TIPOLOGIA: gruppo<br>REGIONE: Bolzano<br>PROVINCIA: Bolzano<br>COMUNE: Bressanone<br>LOCALITA': CASTEL PALLAUS - SARNES<br>LATITUDINE: 46.69118<br>LONGITUDIN: 11.65027<br>unnamed (1): 595 m slm<br>GENERE: Sequoiadendron<br>SPECIE: Sequoiadendron giganteum (Lindl.) J. Buchholz<br>NOME VOLG: Sequoia gigante<br>ALTRE SPECIE: <br>CONTESTO: extraurbano<br>CR ETA': NO<br>CR CIRCONF: SI<br>CR ALTEZZA: SI<br>CR AMPIEZZ: NO<br>CR FM O PO: NO<br>CR VALORE: NO<br>CR RARITA': NO<br>CR ARCHIT: NO<br>CR PAESAG: NO<br>CR STORICO: NO<br>AL IS - H: <br>AL IS - C: <br>INS - Cmed: 524 cm<br>INS - Hmed: 30,8 m<br>INS - Cmax: 610 cm<br>INS - Hmax: 35 m<br>DECR DI IN: D.Dip. n. 5450 del 19/12/2017<br>DECR MODIF: 0",,,,,-1,0,-1,,,Iscritto in elenco,gruppo,Bolzano,Bolzano,Bressanone,CASTEL PALLAUS - SARNES,46.69118,11.65027,595 m slm,Sequoiadendron,Sequoiadendron giganteum (Lindl.) J. Buchholz,Sequoia gigante,,extraurbano,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,,,524 cm,"30,8 m",610 cm,35 m,D.Dip. n. 5450 del 19/12/2017,0
11.13519,46.69188,002/L178/BZ/21,"STATO: Iscritto in elenco<br>TIPOLOGIA: albero singolo<br>REGIONE: Bolzano<br>PROVINCIA: Bolzano<br>COMUNE: Tirolo<br>LOCALITA': CASTELLO THURNSTEIN<br>LATITUDINE: 46.69188<br>LONGITUDIN: 11.13519<br>unnamed (1): 530 m slm<br>GENERE: Laurus<br>SPECIE: Laurus nobilis L.<br>NOME VOLG: Alloro<br>ALTRE SPECIE: <br>CONTESTO: extraurbano<br>CR ETA': NO<br>CR CIRCONF: SI<br>CR ALTEZZA: NO<br>CR AMPIEZZ: NO<br>CR FM O PO: SI<br>CR VALORE: NO<br>CR RARITA': SI<br>CR ARCHIT: NO<br>CR PAESAG: SI<br>CR STORICO: NO<br>AL IS - H: 16,8 m<br>AL IS - C: 302 cm<br>INS - Cmed: <br>INS - Hmed: <br>INS - Cmax: <br>INS - Hmax: <br>DECR DI IN: D.Dip. n. 5450 del 19/12/2017<br>DECR MODIF: D.Dir. n. 9022657 del 24/07/2020 Allegato C",,,,,-1,0,-1,,,Iscritto in elenco,albero singolo,Bolzano,Bolzano,Tirolo,CASTELLO THURNSTEIN,46.69188,11.13519,530 m slm,Laurus,Laurus nobilis L.,Alloro,,extraurbano,NO,SI,NO,NO,SI,NO,SI,NO,SI,NO,"16,8 m",302 cm,,,,,D.Dip. n. 5450 del 19/12/2017,D.Dir. n. 9022657 del 24/07/2020 Allegato C
11.3488,46.89309,001/H152/BZ/21,STATO: Iscritto in elenco<br>TIPOLOGIA: albero singolo<br>REGIONE: Bolzano<br>PROVINCIA: Bolzano<br>COMUNE: Racines<br>LOCALITA': CASTELLO WOLFSTHURN - MARETA<br>LATITUDINE: 46.89309<br>LONGITUDIN: 11.34880<br>unnamed (1): 1060 m slm<br>GENERE: Castanea<br>SPECIE: Castanea sativa Mill.<br>NOME VOLG: Castagno<br>ALTRE SPECIE: <br>CONTESTO: extraurbano<br>CR ETA': NO<br>CR CIRCONF: SI<br>CR ALTEZZA: NO<br>CR AMPIEZZ: NO<br>CR FM O PO: SI<br>CR VALORE: NO<br>CR RARITA': NO<br>CR ARCHIT: NO<br>CR PAESAG: SI<br>CR STORICO: NO<br>AL IS - H: 22 m<br>AL IS - C: 240 cm<br>INS - Cmed: <br>INS - Hmed: <br>INS - Cmax: <br>INS - Hmax: <br>DECR DI IN: D.Dip. n. 5450 del 19/12/2017<br>DECR MODIF: 0,,,,,-1,0,-1,,,Iscritto in elenco,albero singolo,Bolzano,Bolzano,Racines,CASTELLO WOLFSTHURN - MARETA,46.89309,11.34880,1060 m slm,Castanea,Castanea sativa Mill.,Castagno,,extraurbano,NO,SI,NO,NO,SI,NO,NO,NO,SI,NO,22 m,240 cm,,,,,D.Dip. n. 5450 del 19/12/2017,0
