id,ID PUNTO,note,LATITUDINE,LONGITUDIN,QUOTA,SPECIE,NOME VOLG,natural_monument:criteria,AL IS - H,AL IS - C
2028,005/A052/AL/01,,44.659585,8.454665,245,Acer campestre L.,Acero campestre,age,17,2.22
2029,001/A052/AL/01,,44.673481,8.473655,159,Cedrus atlantica (Endl.) Manetti ex Carrière,Cedro dell'Atlante,age;circumference;shape,30,4.6
2030,004/A052/AL/01,,44.695074,8.420598,365,Quercus crenata Lam.,Cerro-Sughera,age;rarity,17,3.6
2031,002/A052/AL/01,,44.668719,8.463433,156,Populus nigra L.,Pioppo nero,age;circumference;plant_architecture,32,6.0
2032,003/A052/AL/01,,44.659719,8.461479,279,Taxus baccata L.,Tasso,age;circumference,14,2.92
2033,001/A182/AL/01,,44.907894,8.64007,90,Platanus acerifolia (Aiton) Willd.,Platano comune,age;circumference;crown;historic,37,7.6
2034,001/A436/AL/01,,44.661439,8.911988,246,Quercus ilex L.,Leccio,age;circumference;rarity,19,3.5
2035,001/A523/AL/01,,44.821059,8.977431,350,Morus alba L.,Gelso bianco,age;circumference;shape;value,8,4.1
2036,002/A523/AL/01,,44.798263,8.986111,314,Quercus pubescens Willd.,Roverella,circumference;shape,20,4.3
2037,001/A889/AL/01,,44.663969,8.362115,191,Quercus pubescens Willd.,Roverella,circumference;shape,16.5,3.9
2038,001/C243/AL/01,,45.003029,8.850862,80,Populus alba L.,Pioppo bianco,circumference;historic,24,4.58
2039,001/C962/AL/01,,45.158889,8.369722,120,Populus nigra L.,Pioppo nero,circumference,28.5,6.0
2040,001/D797/AL/01,,44.783389,8.683739,140,Morus alba L.,Gelso bianco,age;circumference;historic,9.5,2.8
2041,001/F232/AL/01,,45.041786,8.515667,148,Quercus pubescens Willd.,Roverella,shape,18,2.93
2042,001/F965/AL/01,,44.738433,8.821525,273,Quercus virgiliana (Ten.) Ten.,Quercia castagnara,age;circumference;crown;shape;rarity;landscape,20,4.4
2044,001/I150/AL/01,,44.789105,9.07618,400,Cedrus atlantica (Endl.) Manetti ex Carrière,Cedro dell'Atlante,circumference;shape,33,1.6
2045,001/L059/AL/01,,44.729849,8.779053,254,Quercus crenata Lam.,Cerro-Sughera,age;crown;rarity;historic,18,4.0
2046,001/L570/AL/01,,45.017913,8.619264,125,Quercus robur L.,Farnia,age;circumference,30,5.32
2047,001/L633/AL/01,,45.119688,8.604564,94,Platanus acerifolia (Aiton) Willd.,Platano comune,circumference,41,5.05
